Step,TimeElapsed,LowerboundMinibatch,LowerboundValid,NumStepNotImproving
10,515.3627269268036,-110.135576598,-110.937708829,0
20,1029.1488852500916,-109.844276028,-110.670928909,0
30,1520.7798509597778,-109.663715721,-110.538952007,0
40,2007.4139862060547,-109.616743772,-110.413037816,0
50,2486.536254644394,-109.580909121,-110.399148214,0
60,2967.9538083076477,-109.540981544,-110.487488412,1
70,3450.9963386058807,-109.508338064,-110.342454805,0
80,3927.6689257621765,-109.491307373,-110.315431274,0
90,4403.106709718704,-109.475145023,-110.315808652,1
100,4877.135123968124,-109.465560753,-110.331909766,2
110,5354.755331516266,-109.45152644,-110.305881683,0
120,5827.913714647293,-109.442225135,-110.279401025,0
130,6300.598130702972,-109.433496113,-110.275594915,0
140,6772.492094278336,-109.425013835,-110.266300168,0
150,7246.7405128479,-109.424167939,-110.265587868,0
160,7722.27224612236,-109.411475613,-110.268932816,1
170,8200.461600542068,-109.409975329,-110.266807859,2
180,8675.771997451782,-109.408525884,-110.262459414,0
190,9149.957019805908,-109.405964145,-110.250566074,0
200,9622.210064888,-109.400947964,-110.262916071,1
210,10089.654103517532,-109.393477142,-110.233517446,0
220,10556.2966299057,-109.403428761,-110.253171333,1
230,11031.053864479065,-109.392097163,-110.237601746,2
240,11502.226949930191,-109.389512879,-110.218406698,0
250,11974.048205852509,-109.382483002,-110.245005775,1
260,12443.418921232224,-109.382046894,-110.237578243,2
270,12914.99666762352,-109.396404322,-110.222911515,3
280,13381.429222106934,-109.379064511,-110.238176904,4
290,13845.625900745392,-109.386997157,-110.222758166,5
300,14322.48314166069,-109.381448264,-110.235975111,6
310,14791.0705037117,-109.380026624,-110.214807914,0
320,15264.430416584015,-109.377550385,-110.208900184,0
330,15738.18582034111,-109.380660154,-110.219606133,1
340,16206.351041555405,-109.380176032,-110.217862629,2
350,16675.79883170128,-109.380895605,-110.215757004,3
360,17150.305199623108,-109.375354608,-110.229704826,4
370,17618.709294080734,-109.375202425,-110.223575962,5
380,18097.589836359024,-109.377210687,-110.223591868,6
390,18572.397077798843,-109.371657198,-110.207902193,0
400,19043.727021455765,-109.369858212,-110.210182622,1
410,19510.779888868332,-109.365987051,-110.219339509,2
420,19976.505285024643,-109.375107551,-110.224744796,3
430,20449.403139591217,-109.362863396,-110.214449702,4
440,20919.747603416443,-109.375582854,-110.228419959,5
450,21392.99078297615,-109.369363233,-110.20723824,0
460,21876.512252807617,-109.365133833,-110.205299257,0
470,22349.598195314407,-109.368755418,-110.231077058,1
480,22819.5761783123,-109.368426326,-110.22109856,2
490,23289.790033578873,-109.367676238,-110.21596095,3
500,23763.444335460663,-109.362922351,-110.217099204,4
510,24233.30311536789,-109.36364033,-110.216797803,5
520,24709.270847320557,-109.364332889,-110.215029059,6
530,25186.269572734833,-109.364199637,-110.21091003,7
540,25661.706130743027,-109.361325536,-110.216530874,8
550,26139.45392537117,-109.360362628,-110.201228468,0
560,26614.46299290657,-109.363574748,-110.20679693,1
570,27090.71471595764,-109.365918002,-110.206576826,2
580,27569.67528605461,-109.361448282,-110.205847247,3
590,28045.998662233353,-109.362880871,-110.208174439,4
600,28522.46432518959,-109.36554963,-110.187458373,0
610,28995.4546084404,-109.363335143,-110.213030789,1
620,29468.748321294785,-109.358379872,-110.205323708,2
630,29943.903631925583,-109.360122421,-110.206333527,3
640,30416.586216688156,-109.360216933,-110.213631679,4
650,30889.505873918533,-109.364612886,-110.214086137,5
660,31365.1164829731,-109.355721853,-110.208521177,6
670,31838.2880589962,-109.355349271,-110.215243561,7
680,32317.141914606094,-109.353356986,-110.221689144,8
690,32796.82577085495,-109.363798436,-110.221617927,9
700,33283.65450787544,-109.355757191,-110.217347564,10
710,33768.995049238205,-109.357640189,-110.186137485,0
720,34258.19607114792,-109.359881057,-110.2126289,1
730,34631.19815707207,-109.359448281,-110.195320829,2
740,34929.227301597595,-109.35727303,-110.218087159,3
750,35227.65880346298,-109.355661225,-110.205620045,4
760,35525.63591504097,-109.352614446,-110.216565149,5
770,35823.85170698166,-109.368876405,-110.219770519,6
780,36119.94903111458,-109.355539897,-110.199904369,7
790,36415.64798951149,-109.355418256,-110.20802163,8
800,36712.06718254089,-109.362009987,-110.232526815,9
810,37008.85884642601,-109.358679964,-110.197930196,10
820,37309.49549269676,-109.361518,-110.230177804,11
830,37607.150326251984,-109.360157136,-110.200009144,12
840,37901.865273714066,-109.351135091,-110.20765965,13
850,38196.41493153572,-109.353664468,-110.210642855,14
860,38491.47084069252,-109.353329513,-110.197503274,15
870,38786.3408408165,-109.356599001,-110.21581048,16
880,39080.99345636368,-109.351476497,-110.201838581,17
890,39376.02632308006,-109.357045589,-110.209998979,18
900,39674.11215591431,-109.346536122,-110.187701405,19
910,39970.09489250183,-109.354455241,-110.209841313,20
920,40268.32213640213,-109.349997512,-110.206671386,21
930,40564.29795575142,-109.350739333,-110.204104261,22
940,40860.95985913277,-109.355210415,-110.207418789,23
950,41159.77888894081,-109.350956079,-110.197584383,24
960,41457.76973128319,-109.356986551,-110.197598432,25
970,41755.22313833237,-109.353413333,-110.192267584,26
980,42053.511075258255,-109.349868639,-110.223204845,27
990,42350.434114694595,-109.351067075,-110.188785386,28
1000,42647.60491538048,-109.349956593,-110.203291912,29
1010,42946.74951839447,-109.359517683,-110.206414996,30
1020,43248.77654671669,-109.35346419,-110.194212293,31
1030,43547.06385946274,-109.354851759,-110.193783095,32
1040,43845.28260374069,-109.348217591,-110.183273268,0
1050,44144.01010489464,-109.349694773,-110.206940423,1
1060,44448.26697731018,-109.350825976,-110.207331401,2
1070,44749.23931980133,-109.35002526,-110.202853799,3
1080,45049.54141974449,-109.349094399,-110.233595676,4
1090,45353.1896071434,-109.353230933,-110.202434139,5
1100,45655.84195423126,-109.353264891,-110.19513301,6
1110,45959.2628660202,-109.351280404,-110.203639657,7
1120,46262.202579021454,-109.353306742,-110.208183984,8
1130,46562.03669023514,-109.356570794,-110.186914562,9
1140,46872.12914133072,-109.352303487,-110.193911669,10
1150,47172.314838409424,-109.348538358,-110.200668721,11
1160,47472.63206791878,-109.348211955,-110.194350729,12
1170,47773.03477215767,-109.349503294,-110.182061354,0
1180,48073.809202194214,-109.351058422,-110.209515561,1
1190,48374.559926748276,-109.347672443,-110.196698082,2
1200,48677.74702858925,-109.352771147,-110.198791644,3
1210,48979.63720583916,-109.345600159,-110.188420914,4
1220,49284.13010787964,-109.354018883,-110.199893007,5
1230,49600.58085274696,-109.351873416,-110.205281675,6
1240,49905.54362988472,-109.344195654,-110.180295525,0
1250,50207.304488658905,-109.34740092,-110.197314352,1
1260,50511.519635915756,-109.347121598,-110.193723428,2
1270,50817.74505662918,-109.351111543,-110.202283738,3
1280,51124.26466989517,-109.353756167,-110.205344544,4
1290,51431.64015626907,-109.348623966,-110.184714931,5
1300,51739.16617369652,-109.355418604,-110.204963523,6
1310,52049.06593799591,-109.349696274,-110.1893829,7
1320,52357.57678318024,-109.347723891,-110.191919445,8
1330,52665.30994296074,-109.348231935,-110.182202462,9
1340,52971.49344420433,-109.348035876,-110.202783472,10
1350,53274.865091085434,-109.343390172,-110.200523415,11
1360,53581.72225379944,-109.35196398,-110.198443757,12
1370,53885.82186317444,-109.346573904,-110.17582566,0
1380,54194.18482756615,-109.34641711,-110.213810576,1
1390,54497.62436437607,-109.352014201,-110.201299001,2
1400,54805.26998090744,-109.347604516,-110.206965642,3
1410,55110.97812819481,-109.344506739,-110.195970871,4
1420,55420.89715075493,-109.349848323,-110.197859827,5
1430,55728.36823821068,-109.347547584,-110.193511132,6
1440,56034.12866353989,-109.350156472,-110.196491322,7
1450,56341.46461343765,-109.346882251,-110.198047084,8
1460,56648.46401357651,-109.344507581,-110.205360974,9
1470,56959.12045907974,-109.34496342,-110.188447897,10
1480,57265.363887786865,-109.346150081,-110.194477696,11
1490,57578.59180045128,-109.344430649,-110.203713734,12
1500,57887.62313961983,-109.34317036,-110.197057286,13
1510,58196.06311058998,-109.35184376,-110.198772281,14
1520,58505.30446434021,-109.347763028,-110.195051217,15
1530,58812.19459795952,-109.349550743,-110.1940086,16
1540,59117.52258205414,-109.343615935,-110.200551115,17
1550,59422.845571517944,-109.345393345,-110.197453849,18
1560,59728.32094621658,-109.348798251,-110.211481886,19
1570,60037.540086746216,-109.352124167,-110.18787083,20
1580,60347.65418815613,-109.35175938,-110.197235497,21
1590,60653.581090688705,-109.347614082,-110.187898344,22
1600,60961.30599570274,-109.360226504,-110.206916884,23
1610,61269.73363804817,-109.345459398,-110.194668704,24
1620,61575.71576285362,-109.346191239,-110.191895237,25
1630,61882.49223256111,-109.344857866,-110.193776171,26
1640,62188.43020391464,-109.345051872,-110.204466882,27
1650,62495.513912677765,-109.345902742,-110.198511573,28
1660,62802.1721162796,-109.344816477,-110.198903188,29
1670,63108.87691307068,-109.349902197,-110.199332485,30
1680,63425.60966825485,-109.350238878,-110.189428196,31
1690,63741.101791381836,-109.3463005,-110.186460567,32
1700,64053.58178949356,-109.340686921,-110.198557363,33
1710,64363.48803114891,-109.344230305,-110.185136033,34
1720,64670.39182186127,-109.345083803,-110.200419471,35
1730,64979.08210301399,-109.347587823,-110.202736997,36
1740,65286.62060523033,-109.349571862,-110.194409224,37
1750,65593.96246528625,-109.342446036,-110.209671157,38
1760,65901.36601924896,-109.346268851,-110.191072017,39
1770,66208.66578435898,-109.343456472,-110.194699355,40
1780,66554.47380805016,-109.354403311,-110.205158097,41
1790,66910.92482066154,-109.345041464,-110.200157845,42
1800,67262.02209877968,-109.34819593,-110.207738147,43
1810,67612.11536169052,-109.346732414,-110.201084284,44
1820,67943.83792448044,-109.345164882,-110.197697736,45
1830,68277.35092520714,-109.346502478,-110.196270397,46
1840,68609.90328288078,-109.347425409,-110.187964642,47
1850,68944.15301442146,-109.347256848,-110.195678759,48
1860,69276.24185228348,-109.346366749,-110.210044614,49
1870,69607.91380929947,-109.345215148,-110.181868786,50
1880,69941.97092628479,-109.343431454,-110.189591302,51
1890,70274.37264537811,-109.34642163,-110.190038763,52
1900,70609.07122778893,-109.348826582,-110.196433886,53
1910,70940.72997331619,-109.342133662,-110.193697532,54
1920,71274.9644882679,-109.342431238,-110.180884663,55
1930,71608.82077407837,-109.346207405,-110.19940854,56
1940,71944.73658442497,-109.341872332,-110.184490865,57
1950,72279.89769506454,-109.350861751,-110.201947657,58
1960,72613.52701735497,-109.347842447,-110.192837605,59
1970,72946.18975138664,-109.346303191,-110.203890845,60
1980,73279.09116148949,-109.341564178,-110.200279214,61
1990,73613.365442276,-109.348036176,-110.199815634,62
2000,73949.35169363022,-109.349832305,-110.210435785,63
2010,74282.25146746635,-109.341690173,-110.204215782,64
2020,74597.67650103569,-109.345005642,-110.19477977,65
2030,74907.55336689949,-109.344294822,-110.193593243,66
2040,75217.75580358505,-109.346660837,-110.196828157,67
2050,75531.92393159866,-109.342583957,-110.196783176,68
2060,75879.84046959877,-109.342908268,-110.192215024,69
2070,76199.28052377701,-109.340851827,-110.192202069,70
2080,76513.5036869049,-109.345384337,-110.182197812,71
2090,76830.87297344208,-109.344692629,-110.190494401,72
2100,77146.34685826302,-109.345876672,-110.197355303,73
2110,77486.54230546951,-109.343752823,-110.189076344,74
2120,77827.51544117928,-109.346604625,-110.191494894,75
2130,78161.59468007088,-109.348783388,-110.191400861,76
2140,78512.09266591072,-109.346732263,-110.20320193,77
2150,78874.50647449493,-109.34793362,-110.19013915,78
2160,79216.20626950264,-109.34307523,-110.167644886,0
2170,79541.03367066383,-109.343721296,-110.194278482,1
2180,79866.38729572296,-109.344551789,-110.201138409,2
2190,80201.62470030785,-109.344629329,-110.185395041,3
2200,80541.5499985218,-109.349568724,-110.19874663,4
2210,80881.18259549141,-109.346138758,-110.212379838,5
2220,81219.99115228653,-109.345174463,-110.195282317,6
2230,81551.96371102333,-109.34629634,-110.189507661,7
2240,81888.37329292297,-109.344128643,-110.201705771,8
2250,82225.49040317535,-109.346847159,-110.217037598,9
2260,82562.94701361656,-109.343943835,-110.207635196,10
2270,82903.84348773956,-109.347524796,-110.220160324,11
2280,83244.2221186161,-109.339365021,-110.187927627,12
2290,83561.90506887436,-109.347529173,-110.182690528,13
2300,83873.41915822029,-109.343715886,-110.195790293,14
2310,84185.41482949257,-109.340479114,-110.181523032,15
2320,84497.54388189316,-109.344724628,-110.185706629,16
2330,84808.86218762398,-109.344329793,-110.183928621,17
2340,85122.12790369987,-109.347495094,-110.175657538,18
2350,85433.55809140205,-109.343930126,-110.199180429,19
2360,85745.90124750137,-109.351579885,-110.196319392,20
